Id,MSSubClass,LotShape,LandContour,LandSlope,BldgType,HouseStyle,OverallQual,OverallCond,LotFrontage,LotArea,GarageArea,GrLivArea,TotalBsmtSF,SalePrice
1070,1-1/2 STORY - UNFINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level unfinished,Average,Good,60,9600,576,893,845,135000
1071,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,72,10152,286,1048,1048,135000
1072,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Above Average,78,11700,441,1556,727,154000
1073,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Fair,50,7585,280,1456,810,91500
1074,2-STORY 1946 & NEWER,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,Two story,Above Average,Above Average,75,7950,440,1426,690,159500
1075,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,74,8556,826,1240,1240,194000
1076,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Above Average,75,13125,240,1740,800,219500
1077,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,60,10800,566,1466,796,170000
1078,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,NA,15870,299,1096,1096,138800
1079,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Above Average,Average,37,4435,420,848,848,155900
1080,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,65,8775,299,990,990,126000
1081,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,80,11040,528,1258,1258,145000
1082,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,75,7500,308,1040,1040,133000
1083,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,70,8749,527,1459,1459,192000
1084,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,80,8800,461,1251,1251,160000
1085,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,13031,409,1498,691,187500
1086,SPLIT FOYER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,Above Average,Above Average,73,9069,564,996,936,147000
1087,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Below Average,Average,NA,1974,286,1092,546,83500
1088,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,85,10574,1043,1953,1082,252000
1089,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Good,Average,24,2522,380,1709,970,137500
1090,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,37,3316,550,1247,1247,197000
1091,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Fair,Below Average,60,8544,400,1040,0,92900
1092,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Good,Average,24,2160,462,1252,600,160000
1093,1-1/2 STORY FINISHED ALL AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Average,60,8400,576,1694,1181,136500
1094,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Very Good,71,9230,884,1200,864,146000
1095,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,74,5868,308,936,936,129000
1096,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,78,9317,440,1314,1314,176432
1097,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Good,60,6882,0,1355,684,127000
1098,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Very Good,Average,NA,3696,461,1088,1074,170000
1099,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Below Average,Above Average,50,6000,240,1324,672,128000
1100,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,82,11880,478,1601,1271,157000
1101,1-STORY 1945 & OLDER,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One story,Poor,Average,60,8400,246,438,290,60000
1102,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,61,9758,280,950,950,119500
1103,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,70,7000,254,1134,1010,135000
1104,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,79,8910,539,1194,655,159500
1105,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Average,Average,24,2016,440,1302,630,106000
1106,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,98,12256,712,2622,1463,325000
1107,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,114,10357,719,1442,910,179900
1108,2-STORY 1946 & NEWER,Irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,Good,Average,168,23257,422,2021,868,274725
1109,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,8063,463,1690,924,181000
1110,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,107,11362,862,1836,1836,280000
1111,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,NA,8000,431,1658,773,188000
1112,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Above Average,80,10480,483,1964,803,205000
1113,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,73,7100,308,816,816,129900
1114,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,66,8923,240,1008,1008,134500
1115,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,90,5400,326,833,833,117000
1116,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,93,12085,928,1734,1734,318000
1117,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Very Good,Average,NA,7750,527,1419,408,184100
1118,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,57,9764,450,894,894,130000
1119,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Average,Above Average,85,13825,300,1601,533,140000
1120,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,70,7560,286,1040,1040,133700
1121,1-STORY 1945 & OLDER,Regular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Single-family Detached,One story,Above Average,Average,59,8263,308,1012,1012,118400
1122,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,84,10084,782,1552,1552,212900
1123,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Fair,NA,8926,288,960,672,112000
1124,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Excellent,50,9405,0,698,698,118000
1125,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Good,Average,NA,9125,392,1482,384,163900
1126,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,60,10434,672,1005,1005,115000
1127,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Good,Average,53,3684,660,1555,1373,174000
1128,1-STORY 1946 & NEWER ALL STYLES,Irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,182,14572,630,1530,1530,259000
1129,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,59,11796,434,1959,847,215000
1130,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,Split Foyer,Average,Average,60,7200,672,936,936,140000
1131,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Below Average,Fair,65,7804,576,1981,1122,135000
1132,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,63,10712,0,974,974,93500
1133,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Below Average,90,9900,205,2210,1008,117500
1134,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,80,9828,466,2020,1128,239500
1135,2-STORY 1946 & NEWER,Slightly irregular,Hillside - Significant slope from side to side,Gentle slope,Single-family Detached,Two story,Above Average,Average,57,8773,460,1600,916,169000
1136,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,60,6180,180,986,960,102000
1137,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Average,80,9600,288,1252,1032,119000
1138,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,54,6342,0,1020,780,94000
1139,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Moderate Slope,Single-family Detached,One story,Above Average,Average,NA,9819,714,1567,1567,196000
1140,1-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,98,8731,495,1167,915,144000
1141,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,60,7350,840,952,952,139000
1142,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Average,Good,NA,10304,484,1868,780,197500
1143,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Good,Average,77,9965,1052,2828,1466,424870
1144,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Fair,NA,9000,0,1006,1006,80000
1145,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Two-family Conversion; originally built as one-family dwelling,One and one-half story: 2nd level finished,Below Average,Below Average,60,12180,280,924,672,80000
1146,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,52,6240,225,1576,1042,149000
1147,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,NA,11200,403,1298,1298,180000
1148,2-STORY 1945 & OLDER,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,Two story,Good,Good,75,12000,234,1564,704,174500
1149,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Good,Good,NA,5700,288,1111,572,116900
1150,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Excellent,50,9000,324,1482,650,143000
1151,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,57,8280,306,932,932,124000
1152,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Below Average,134,17755,528,1466,1466,149900
1153,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Good,90,14115,470,1811,1073,230000
1154,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Very Good,NA,5890,432,816,816,120500
1155,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Above Average,NA,13700,492,1820,864,201800
1156,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Very Good,90,10768,528,1437,1437,218000
1157,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Average,Very Good,85,9350,502,1265,1219,179900
1158,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,One story,Good,Average,34,5001,626,1314,1314,230000
1159,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,92,11932,830,1580,1580,235128
1160,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Above Average,76,9120,540,1876,901,185000
1161,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,24,2280,440,1456,855,146000
1162,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Depression,Gentle slope,Single-family Detached,One story,Above Average,Good,NA,14778,924,1640,1296,224000
1163,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,109,8724,450,894,894,129000
1164,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,Split Foyer,Below Average,Below Average,60,12900,400,1258,1198,108959
1165,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Average,Good,NA,16157,588,1432,1360,194000
1166,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,79,9541,644,1502,1502,233170
1167,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,64,10475,776,1694,1694,245350
1168,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,58,10852,472,1671,959,173000
1169,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Good,120,13728,540,2108,1127,235000
1170,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Excellent,Average,118,35760,807,3627,1930,625000
1171,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Above Average,76,9880,358,1118,1096,171000
1172,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Above Average,76,9120,433,1261,1261,163000
1173,2-STORY PUD - 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Townhouse End Unit,Two story,Good,Average,35,4017,625,1250,625,171900
1174,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,138,18030,0,3086,1598,200500
1175,2-STORY 1945 & OLDER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Very Good,80,16560,360,2345,952,239000
1176,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Very Good,Average,85,10678,541,2872,1683,285000
1177,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,37,6951,264,923,876,119500
1178,1-1/2 STORY FINISHED ALL AGES,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Very Good,NA,3950,210,1224,818,115000
1179,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,54,7681,186,1343,731,154900
1180,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,77,8335,0,1124,0,93000
1181,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,NA,11170,693,2514,1216,250000
1182,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Slightly irregular,Hillside - Significant slope from side to side,Moderate Slope,Townhouse End Unit,One story,Very Good,Average,64,5587,482,1652,1600,392500
1183,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Very Excellent,Average,160,15623,813,4476,2396,745000
1184,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,60,10800,720,1130,1120,120000
1185,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Moderate Slope,Single-family Detached,One story,Average,Below Average,50,35133,995,1572,1572,186700
1186,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Good,60,9738,392,1221,784,104900
1187,2 FAMILY CONVERSION - ALL STYLES AND AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Two-family Conversion; originally built as one-family dwelling,Two story,Fair,Average,107,10615,420,1699,978,95000
1188,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,89,12461,757,1624,1624,262000
1189,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,68,8935,493,1660,831,195000
1190,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,60,7500,442,1804,994,189000
1191,2 FAMILY CONVERSION - ALL STYLES AND AGES,Regular,Depression,Moderate Slope,Two-family Conversion; originally built as one-family dwelling,One story,Below Average,Below Average,NA,32463,1356,1622,1249,168000
1192,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Very Good,Average,24,2645,492,1441,776,174000
1193,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,60,9600,250,1472,702,125000
1194,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Above Average,Average,NA,4500,402,1224,1224,165000
1195,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Good,80,9364,299,1352,663,158000
1196,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,51,8029,400,1456,728,176000
1197,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,58,14054,660,1863,879,219210
1198,2-1/2 STORY ALL AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,Two and one-half story: 2nd level unfinished,Good,Above Average,65,8850,225,1690,815,144000
1199,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,70,9100,573,1212,1212,178000
1200,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,75,11235,459,1382,1051,148000
1201,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Average,71,9353,280,864,864,116050
1202,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,80,10400,546,1779,866,197900
1203,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Average,Very Good,50,6000,216,1348,884,117000
1204,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Average,75,9750,451,1630,1630,213000
1205,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Above Average,78,10140,495,1074,1056,153500
1206,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Good,Good,90,14684,701,2196,2158,271900
1207,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Below Average,NA,8900,384,1056,1056,107000
1208,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,70,9135,544,1700,1682,200000
1209,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Good,70,7763,506,1283,931,140000
1210,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,85,10182,500,1660,1660,290000
1211,2-STORY 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,70,11218,462,1845,1055,189000
1212,1-1/2 STORY FINISHED ALL AGES,Slightly irregular,Banked - Quick and significant rise from street grade to building,Moderate Slope,Single-family Detached,One and one-half story: 2nd level finished,Very Good,Good,152,12134,492,1752,559,164000
1213,1-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Below Average,Above Average,50,9340,234,672,672,113000
1214,SPLIT OR MULTI-LEVEL,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Below Average,Excellent,NA,10246,364,960,648,145000
1215,SPLIT FOYER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Split Foyer,Average,Average,69,10205,300,999,925,134500
1216,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,99,7094,384,894,894,125000
1217,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One and one-half story: 2nd level finished,Above Average,Average,68,8930,539,1902,0,112000
1218,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Very Good,Average,72,8640,552,1314,1300,229456
1219,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Below Average,Average,52,6240,0,912,0,80500
1220,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Above Average,Average,21,1680,0,1218,672,91500
1221,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,66,7800,288,912,912,115000
1222,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,55,8250,322,1211,952,134000
1223,1-1/2 STORY FINISHED ALL AGES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One and one-half story: 2nd level finished,Above Average,Above Average,78,10496,315,1846,1040,143000
1224,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Fair,89,10680,528,2136,2136,137900
1225,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,60,15384,388,1490,788,184000
1226,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Above Average,Very Good,65,10482,264,1138,588,145000
1227,2-STORY 1946 & NEWER,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Above Average,Average,86,14598,668,1933,894,214000
1228,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Very Good,72,8872,576,912,912,147000
1229,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse End Unit,One story,Excellent,Average,65,8769,1052,1702,1702,367294
1230,SPLIT OR MULTI-LEVEL,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Split Level,Average,Average,70,7910,404,1507,1075,127000
1231,DUPLEX - ALL STYLES AND AGES,Slightly irregular,Near Flat/Level,Gentle slope,Duplex,One and one-half story: 2nd level finished,Average,Average,NA,18890,600,2620,1361,190000
1232,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,Split Level,Average,Above Average,70,7728,540,1190,1106,132500
1233,DUPLEX - ALL STYLES AND AGES,Regular,Near Flat/Level,Gentle slope,Duplex,One story,Below Average,Average,70,9842,462,1224,0,101800
1234,1-STORY 1946 & NEWER ALL STYLES,Slightly irregular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Average,Average,NA,12160,531,1188,1188,142000
1235,2-STORY 1945 & OLDER,Regular,Banked - Quick and significant rise from street grade to building,Gentle slope,Single-family Detached,Two story,Average,Above Average,55,8525,0,1964,940,130000
1236,2-STORY 1945 & OLDER,Regular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Average,Average,96,13132,180,1784,747,138887
1237,2-STORY PUD - 1946 & NEWER,Regular,Near Flat/Level,Gentle slope,Townhouse Inside Unit,Two story,Good,Average,36,2628,474,1626,764,175500
1238,2-STORY 1946 & NEWER,Moderately Irregular,Near Flat/Level,Gentle slope,Single-family Detached,Two story,Good,Average,41,12393,434,1948,847,195000
1239,1-STORY 1946 & NEWER ALL STYLES,Regular,Near Flat/Level,Gentle slope,Single-family Detached,One story,Above Average,Average,63,13072,484,1141,1141,142500
